0,0,0
0,0,1
0,1,1
1,1,2
1,1,2
1,1,3
1,2,4
2,2,4
2,2,5
2,3,5
2,3,6
3,3,6
3,4,7
3,4,8
3,4,8
4,4,9
4,5,9
4,5,10
4,5,11
4,6,11
5,6,12
5,6,12
5,6,13
5,7,14
6,7,14
6,7,15
6,8,15
6,8,16
7,8,16
7,9,17
7,9,18
7,9,18
8,9,19
8,10,19
8,10,20
8,10,21
8,11,21
9,11,22
9,11,22
9,11,23
9,12,24
10,12,24
10,12,25
10,13,25
10,13,26
11,13,26
11,14,27
11,14,28
11,14,28
12,14,29
12,15,29
12,15,30
12,15,31
12,16,31
13,16,32
13,16,32
13,16,33
13,17,34
14,17,34
14,17,35
14,18,35
14,18,36
15,18,36
15,19,37
15,19,38
15,19,38
16,19,39
16,20,39
16,20,40
16,20,41
16,21,41
17,21,42
17,21,42
17,21,43
17,22,44
18,22,44
18,22,45
18,23,45
18,23,46
19,23,46
19,24,47
19,24,48
19,24,48
20,24,49
20,25,49
20,25,50
20,25,51
20,26,51
21,26,52
21,26,52
21,26,53
21,27,54
22,27,54
22,27,55
22,28,55
22,28,56
23,28,56
23,29,57
23,29,58
23,29,58
24,29,59
24,30,59
24,30,60
24,30,61
24,31,61
25,31,62
25,31,62
25,31,63
25,32,64
26,32,64
26,32,65
26,33,65
26,33,66
27,33,66
27,34,67
27,34,68
27,34,68
28,34,69
28,35,69
28,35,70
28,35,71
28,36,71
29,36,72
29,36,72
29,36,73
29,37,74
30,37,74
30,37,75
30,38,75
30,38,76
31,38,76
31,39,77
31,39,78
31,39,78
32,39,79
32,40,79
32,40,80
32,40,81
32,41,81
33,41,82
33,41,82
33,41,83
33,42,84
34,42,84
34,42,85
34,43,85
34,43,86
35,43,86
35,44,87
35,44,88
35,44,88
36,44,89
36,45,89
36,45,90
36,45,91
36,46,91
37,46,92
37,46,92
37,46,93
37,47,94
38,47,94
38,47,95
38,48,95
38,48,96
39,48,96
39,49,97
39,49,98
39,49,98
40,49,99
40,50,99
40,50,100
40,50,101
40,51,101
41,51,102
41,51,102
41,51,103
41,52,104
42,52,104
42,52,105
42,53,105
42,53,106
43,53,106
43,54,107
43,54,108
43,54,108
44,54,109
44,55,109
44,55,110
44,55,111
44,56,111
45,56,112
45,56,112
45,56,113
45,57,114
46,57,114
46,57,115
46,58,115
46,58,116
47,58,116
47,59,117
47,59,118
47,59,118
48,59,119
48,60,119
48,60,120
48,60,121
48,61,121
49,61,122
49,61,122
49,61,123
49,62,124
50,62,124
50,62,125
50,63,125
50,63,126
51,63,126
51,64,127
51,64,128
51,64,128
52,64,129
52,65,129
52,65,130
52,65,131
52,66,131
53,66,132
53,66,132
53,66,133
53,67,134
54,67,134
54,67,135
54,68,135
54,68,136
55,68,136
55,69,137
55,69,138
55,69,138
56,69,139
56,70,139
56,70,140
56,70,141
56,71,141
57,71,142
57,71,142
57,71,143
57,72,144
58,72,144
58,72,145
58,73,145
58,73,146
59,73,146
59,74,147
59,74,148
59,74,148
60,74,149
60,75,149
60,75,150
